,Stock name,Symbol,Country of origin
153,"Columbia Property Trust, Inc.",CXP,US
154,Comcast,CCV,US
155,Comcast Holdings Corporation,CCZ,US
156,Comerica,CMA,US
157,Comfort Systems USA,FIX,US
158,Commercial Metals Company,CMC,US
159,CommonWealth REIT,CWH,US
160,"Community Bank, N.A.",CBU,US
161,Community Health Systems,CYH,US
162,Companhia Brasileira de Distribuição,CBD,Brazil
163,Sabesp,SBS,Brazil
164,CEMIG,CIG,Brazil
165,Copel,ELP,Brazil
166,Companhia Siderúrgica Nacional,SID,Brazil
167,Compass Diversified Holdings,CODI,US
168,Compass Minerals,CMP,US
169,Compañia de Minas Buenaventura SA,BVN,Peru
170,Compañía de las Cervecerías Unidas,CCU,Chile
171,Computer Sciences Corporation,CSC,US
172,Comstock Resources Inc.,CRK,US
173,Con-way Inc.,CNW,US
174,ConAgra Foods,CAG,US
175,Concho Resources Inc.,CXO,US
176,Concord Medical Services Holdings Limited,CCM,China
177,ConocoPhillips,COP,US
178,CONSOL Energy Inc.,CNX,US
179,Consolidated Edison,ED,US
180,Constellation Brands,STZ,US
181,Constellium N.V.,CSTM,US
182,The Container Store,TCS,US
183,Continental Building Products Inc.,CBPX,US
184,Continental Resources,CLR,US
185,Volaris,VLRS,US
186,Convergys,CVG,US
187,The Cooper Companies,COO,US
188,Cooper-Standard Automotive,CPS,US
189,Cooper Tire & Rubber Company,CTB,US
190,Copa Holdings,CPA,Panama
191,Core Laboratories,CLB,Netherlands
192,CoreLogic,CLGX,US
193,"CorEnergy Infrastructure Trust, Inc.",CORR,US
194,Corning Inc.,GLW,US
195,Corpbanca,BCA,Chile
196,Corporate Asset Backed Corporation,GYB,US
197,Corporate Asset Backed Corporation,GYC,US
198,The Corporate Executive Board Company,CEB,US
199,Corporate Office Properties Trust,OFC,US
200,Corrections Corporation of America,CXW,US
201,Cosan,CZZ,Brazil
202,Costamare,CMRE,Greece
203,Cott,COT,Canada
204,"Coty, Inc.",COTY,US
205,"Country Style Cooking Restaurant Chain Co., Ltd.",CCSC,US
206,Coupons.com,COUP,US
207,Cousins Properties,CUZ,US
208,Covance,CVD,US
209,Covanta Energy,CVA,US
210,Covidien,COV,Ireland
211,CPFL Energia,CPL,Brazil
212,Crane Co.,CR,US
213,Crawford & Company,CRD.A,US
214,Crawford & Company,CRD.B,US
215,Credicorp,BAP,Peru
216,Credit Suisse,CS,Switzerland
217,Crescent Point Energy,CPG,US
218,Crestwood Equity Partners LP,CEQP,US
219,"Crestwood Midstream, L.P.",CMLP,US
220,CRH plc,CRH,Ireland
221,Cross Timbers Royalty Trust,CRT,US
222,Crown Castle,CCI,US
223,Crown Castle Preferred,CCI.PRA,US
224,Crown Holdings,CCK,US
225,CryoLife,CRY,US
226,CSS Industries,CSS,US
227,CST Brands,CST,US
228,CSX Corporation,CSX,US
229,CTS Corporation,CTS,US
230,CubeSmart,CUBE,US
231,Cubic Corporation,CUB,US
232,Frost Bank,CFR,US
233,"Culp, Inc.",CFI,US
234,Cummins,CMI,US
235,Curtiss-Wright,CW,US
236,Cvent,CVT,US
237,"CVR Energy, Inc.",CVI,US
238,CVR Partners,UAN,US
239,"CVR Refining, LP",CVRR,US
240,CVS Health,CVS,US
241,"Cypress Energy Partners, L.P.",CELP,US
242,"CYS Investments, Inc.",CYS,US
243,Cytec Industries,CYT,US
0,D. R. Horton Inc.,DHI,US
1,D&B Corporation,DNB,US
2,Dana Holding Corporation,DAN,US
3,Danaher Corporation,DHR,US
4,Danaos Corporation,DAC,Greece
5,DAQO New Energy Corp.,DQ,Cayman Islands
6,"Darden Restaurants, Inc.",DRI,US
7,Darling Ingredients Inc.,DAR,US
8,DaVita Inc.,DVA,US
9,"DCP Midstream Partners, LP",DPM,US
10,Deckers Outdoor Corporation,DECK,US
11,Deere & Company,DE,US
12,Delaware Enhanced Global Dividend & Income Fund,DEX,US
13,"Delaware Investments Dividend and Income Fund, Inc.",DDF,US
14,"Delek Logistics Partners, LP",DKL,US
15,"Delek US Holdings, Inc.",DK,US
16,Delphi Automotive PLC,DLPH,US
17,"Delta Air Lines, Inc.",DAL,US
18,Deltic Timber Corporation,DEL,US
19,Deluxe Corporation,DLX,US
20,"Demand Media, Inc.",DMD,US
21,"Demandware, Inc.",DWRE,US
22,The Denali Fund Inc.,DNY,US
23,Denbury Inc.,DEN,US
24,Deutsche Bank AG,DB,Germany
25,Deutsche Bank Capital Funding Trust IX,DTT,US
26,Deutsche Bank Capital Funding Trust VIII,DUA,US
27,Deutsche Bank Contingent Capital Trust II,DXB,US
28,Deutsche Bank Contingent Capital Trust III,DTK,US
29,Deutsche Bank Contingent Capital Trust V,DKT,US
30,Devon Energy Corporation,DVN,US
31,DeVry Education Group Inc.,DV,US
32,"DHT Holdings, Inc.",DHT,Marshall Islands
33,Diageo plc,DEO,United Kingdom
34,Diamond Offshore Drilling Inc.,DO,US
35,"Diamond Resorts International, Inc.",DRII,US
36,DiamondRock Hospitality Company,DRH,US
37,"Diana Shipping, Inc.",DSX,Greece
38,"Diana Shipping, Inc.",DSX.PRB,Greece
39,"Dice Holdings, Inc.",DHX,US
40,"Dick's Sporting Goods, Inc.",DKS,US
41,Diebold Inc.,DBD,US
42,"Digital Realty Trust, Inc.",DLR,US
43,"Digital Realty Trust, Inc.",DLR.PRE,US
44,"Digital Realty Trust, Inc.",DLR.PRF,US
45,"Digital Realty Trust, Inc.",DLR.PRG,US
46,"Digital Realty Trust, Inc.",DLR.PRH,US
47,Dillards Inc.,DDS,US
48,Dillards Cap Tr I,DDT,US
49,"DineEquity, Inc.",DIN,US
50,Discover Financial Services,DFS,US
51,Discover Financial Services,DFS.PRB,US
52,Dividend and Income Fund,DNI,US
53,DNP Select Income Fund Inc.,DNP,US
54,"Dolby Laboratories, Inc.",DLB,US
55,Dollar General Corporation,DG,US
56,"Dominion Resources, Inc.",D,US
57,"Dominion Resources, Inc.",DCUA,US
58,"Dominion Resources, Inc.",DCUB,US
59,"Dominion Resources, Inc.",DCUC,US
60,"Dominion Resources, Inc.",DRU,US
61,Dominion Resources Black Warrior Trust,DOM,US
62,"Domino's Pizza, Inc.",DPZ,US
63,Domtar Corporation,UFS,Canada
64,Donaldson Co Inc.,DCI,US
65,Doral Financial Corporation,DRL,Puerto Rico
66,Dorian LPG Ltd.,LPG,Marshall Islands
67,Doubleline Income Solutions Fund,DSL,US
68,DoubleLine Opportunistic Credit Fund,DBL,US
69,"Douglas Dynamics, Inc.",PLOW,US
70,"Douglas Emmett, Inc.",DEI,US
71,Dover Corporation,DOV,US
72,"Dover Downs Gaming & Entertainment, Inc.",DDE,US
73,"Dover Motorsports, Inc.",DVD,US
74,Dow 30 Enhanced Premium & Income Fund Inc.,DPO,US
75,"Dow 30 Premium & Dividend Income Fund, Inc.",DPD,US
76,Dow Chemical Co.,DOW,US
77,"Dr Pepper Snapple Group, Inc.",DPS,US
78,Dr. Reddy's Laboratories Limited,RDY,India
79,DRDGOLD Limited,DRD,South Africa
80,Dresser-Rand Group Inc.,DRC,US
81,Drew Industries Incorporated,DW,US
82,Dreyfus High Yield Strategies Fund,DHF,US
83,"Dreyfus Municipal Bond Infrastructure Fund, Inc.",DMB,US
84,"Dreyfus Strategic Municipal Bond Fund, Inc.",DSM,US
85,"Dreyfus Strategic Municipals, Inc.",LEO,US
86,"Dril-Quip, Inc.",DRQ,US
87,DST Systems Inc.,DST,US
88,DSW Inc.,DSW,US
89,DTE Energy Company,DTE,US
90,DTE Energy Company,DTQ,US
91,DTE Energy Company,DTZ,US
92,"DTF Tax-Free Income, Inc.",DTF,US
93,Ducommun Inc,DCO,US
94,Duff & Phelps Global Utility Income Fund Inc.,DPG,US
95,Duff & Phelps Utility & Corporate Bond Trust,DUC,US
96,Duke Energy Corporation,DUK,US
97,Duke Energy Corporation,DUKH,US
98,Duke Realty Corporation,DRE.PRK,US
99,Duke Realty Corporation,DRE.PRL,US
100,Duke Realty Investments Inc.,DRE,US
101,DuPont Fabros Technology,DFT,US
102,DuPont Fabros Technology,DFT.PRA,US
103,"DuPont Fabros Technology, Inc.",DFT.PRB,US
104,"DWS Global High Income Fund, Inc.",LBF,US
105,"DWS High Income Opportunities Fund, Inc.",DHG,US
106,DWS High Income Trust,KHI,US
107,DWS Multi-Market Income Trust,KMM,US
108,DWS Municipal Income Trust,KTF,US
109,DWS Strategic Income Trust,KST,US
110,DWS Strategic Municipal Income Trust,KSM,US
111,Dycom Industries Inc.,DY,US
112,"Dynegy, Inc.",DYN,US
113,"Dynegy, Inc.",DYN.WS,US
114,Dynex Capital Inc.,DX,US
115,Dynex Capital Inc.,DX.PRA,US
116,Dynex Capital Inc.,DX.PRB,US
0,E-Commerce China DangDang Inc.,DANG,China
1,E-House (China) Holdings Limited,EJ,China
2,E. I. du Pont de Nemours and Company (DuPont),DD,US
3,E. I. du Pont de Nemours and Company (DuPont),DD.PRA,US
4,E. I. du Pont de Nemours and Company (DuPont),DD.PRB,US
5,The E. W. Scripps Company,SSP,US
6,Eagle Materials Inc.,EXP,US
7,Eastgroup Properties Inc.,EGP,US
8,Eastman Chemical Co.,EMN,US
9,Eastman Kodak Company,KODK,US
10,Eastman Kodak Company,KODK.WS,US
11,Eastman Kodak Company,KODK.WS.A,US
12,Eaton Corporation plc,ETN,US
13,ECA Marcellus Trust I,ECT,US
14,Eclipse Resources Corporation,ECR,US
15,Ecolab Inc.,ECL,US
16,Ecopetrol S.A.,EC,Colombia
17,Edison International,EIX,US
18,"Education Realty Trust, Inc.",EDR,US
19,Edwards Lifesciences Corp,EW,US
20,El Paso Electric Co.,EE,US
21,El Paso Energy Capital Trust I,EP.PRC,US
22,"El Paso Pipeline Partners, L.P.",EPB,US
23,Eldorado Gold Corporation,EGO,Canada
24,Eli Lilly and Company,LLY,US
25,"Ellie Mae, Inc.",ELLI,US
26,Ellington Financial LLC,EFC,US
27,Ellington Residential Mortgage REIT,EARN,US
28,Embotelladora Andina S.A.,AKO.A,Chile
29,Embotelladora Andina S.A.,AKO.B,Chile
30,Embraer S.A.,ERJ,Brazil
31,"EMCOR Group, Inc.",EME,US
32,Emerge Energy Services LP,EMES,US
33,Emergent BioSolutions Inc.,EBS,US
34,Emeritus Corporation,ESC,US
35,Emerson Electric Co.,EMR,US
36,Empire District Electric Co.,EDE,US
37,"Empire State Realty Trust, Inc.",ESRT,US
38,"Employers Holdings, Inc.",EIG,US
39,Empresa Distribuidora y Comercializadora Norte S.A.,EDN,Argentina
40,Empresas ICA S.A. DE C.V.,ICA,Mexico
41,Emulex Corporation,ELX,US
42,"Enable Midstream Partners, LP",ENBL,US
43,"Enbridge, Inc.",ENB,Canada
44,"Enbridge Energy Management, L.L.C.",EEQ,US
45,"Enbridge Energy Partners, L.P.",EEP,US
46,Endeavour International Corporation,END,US
47,Endeavour Silver Corp.,EXK,Canada
48,Endesa Chile,EOC,Chile
49,Endurance Specialty Holdings Ltd.,ENH,Bermuda
50,Endurance Specialty Holdings Ltd.,ENH.PRA,Bermuda
51,Endurance Specialty Holdings Ltd.,ENH.PRB,Bermuda
52,Enduro Royalty Trust,NDRO,US
53,"Energizer Holdings, Inc.",ENR,US
54,Energy Transfer LP,ET,US
55,Enerplus Corporation,ERF,Canada
56,Enersis S.A.,ENI,Chile
57,EnerSys,ENS,US
58,ENI S.p.A.,E,Italy
59,"EnLink Midstream, LLC",ENLC,US
60,"EnLink Midstream Partners, LP",ENLK,US
61,"Ennis, Inc.",EBF,US
62,"EnPro Industries, Inc.",NPO,US
63,Entergy Corporation,ETR,US
64,"Entergy Arkansas, Inc.",EAA,US
65,"Entergy Arkansas, Inc.",EAB,US
66,"Entergy Arkansas, Inc.",EAE,US
67,"Entergy Louisiana, LLC",ELA,US
68,"Entergy Louisiana, LLC",ELB,US
69,"Entergy Louisiana, LLC",ELU,US
70,"Entergy Mississippi, Inc.",EFM,US
71,"Entergy Mississippi, Inc.",EMQ,US
72,"Entergy Mississippi, Inc.",EMZ,US
73,"Entergy New Orleans, Inc.",ENJ,US
74,"Entergy Texas, Inc.",EZT,US
75,Enterprise Products Partners L.P.,EPD,US
76,Entravision Communications Corporation,EVC,US
77,"Envestnet, Inc.",ENV,US
78,"Envision Healthcare Holdings, Inc.",EVHC,US
79,"Enzo Biochem, Inc.",ENZ,US
80,"EOG Resources, Inc.",EOG,US
81,EP Energy Corporation,EPE,US
82,"EPAM Systems, Inc.",EPAM,US
83,EPR Properties,EPR,US
84,EPR Properties,EPR.PRC,US
85,EPR Properties,EPR.PRE,US
86,EPR Properties,EPR.PRF,US
87,EQT Corporation,EQT,US
88,"EQT Midstream Partners, LP",EQM,US
89,Equifax Inc.,EFX,US
90,"Equity Lifestyle Properties, Inc.",ELS,US
91,"Equity Lifestyle Properties, Inc.",ELS.PRC,US
92,Equity Residential,EQR,US
93,"Equus Total Return, Inc.",EQS,US
94,Era Group Inc.,ERA,US
95,Eros International Plc,EROS,US
96,Esco Technologies Inc.,ESE,US
97,Essent Group Ltd.,ESNT,US
98,"Essex Property Trust, Inc.",ESS,US
99,"Essex Property Trust, Inc.",ESS.PRH,US
100,Estee Lauder Companies Inc.,EL,US
101,Esterline Technologies Corporation,ESL,US
102,Ethan Allen Interiors Inc.,ETH,US
103,"The European Equity Fund, Inc.",EEA,US
104,Everbank Financial Corp.,EVER,US
105,EverBank Financial Corp.,EVER.PRA,US
106,Evercore Partners Inc.,EVR,US
107,Everest Re Group Ltd.,RE,US
108,"Evertec, Inc.",EVTC,US
109,"Everyday Health, Inc.",EVDY,US
110,Evogene Ltd.,EVGN,US
111,"ExamWorks Group, Inc.",EXAM,US
112,Exar Corporation,EXAR,US
113,"Excel Trust, Inc.",EXL,US
114,"Excel Trust, Inc.",EXL.PRB,US
115,"EXCO Resources, Inc.",XCO,US
116,Exelis Inc.,XLS,US
117,Exelon Corporation,EXC,US
118,Exelon Corporation,EXCU,US
119,"Express, Inc.",EXPR,US
120,"Extended Stay America, Inc.",STAY,US
121,"Exterran Holdings, Inc.",EXH,US
122,"Extra Space Storage, Inc.",EXR,US
123,Exxon Mobil Corporation,XOM,US
0,Fabrinet,FN,Thailand
1,FactSet Research Systems Inc.,FDS,US
2,Fair Isaac Corporation,FICO,US
3,Family Dollar Stores Inc.,FDO,US
4,"Farfetch, Ltd.",FTCH,Portugal
5,FBL Financial Group Inc.,FFG,US
6,Federal Agricultural Mortgage Corporation,AGM,US
7,Federal Agricultural Mortgage Corporation,AGM.A,US
8,Federal Agricultural Mortgage Corporation,AGM.PRA,US
9,Federal Agricultural Mortgage Corporation,AGM.PRB,US
10,Federal Agricultural Mortgage Corporation,AGM.PRC,US
11,Federal Realty Investment Trust,FRT,US
12,Federal Signal Corporation,FSS,US
13,Federated Enhanced Treasury Income Fund,FTT,US
14,Federated Investors Inc.,FII,US
15,Federated Premier Intermediate Municipal Income Fund,FPT,US
16,Federated Premier Municipal Income Fund,FMN,US
17,FedEx Corporation,FDX,US
18,FelCor Lodging Trust,FCH,US
19,FelCor Lodging Trust Inc.,FCH.PRA,US
20,FelCor Lodging Trust Inc.,FCH.PRC,US
21,Ferrellgas Partners L.P,FGP,US
22,Ferro Corporation,FOE,US
23,Fibria Celulose S.A.,FBR,Brazil
24,Fidelity & Guaranty Life,FGL,US
25,Fidelity National Financial Inc.,FNF,US
26,"Fidelity National Information Services, Inc.",FIS,US
27,Fiduciary/Claymore MLP Opportunity Fund,FMO,US
28,Fifth Street Finance Corp.,FSCE,US
29,First Acceptance Corporation,FAC,US
30,First American Financial Corporation,FAF,US
31,First BanCorp,FBP,Puerto Rico
32,First Commonwealth Financial Corporation,FCF,US
33,First Horizon National Corporation,FHN,US
34,First Horizon National Corporation,FHN.PRA,US
35,"First Industrial Realty Trust, Inc.",FR,US
36,First Majestic Silver Corp.,AG,US
37,The First Marblehead Corporation,FMD,US
38,"First Niagara Financial Group, Inc.",FNFG.PRB,US
39,First Preferred Capital Trust IV,FBS.PRA,US
40,First Republic Bank,FRC,US
41,First Republic Bank,FRC.PRA,US
42,First Republic Bank,FRC.PRB,US
43,First Republic Bank,FRC.PRC,US
44,First Republic Bank,FRC.PRD,US
45,First Republic Bank,FRC.PRE,US
46,First Trust Dividend and Income Fund,FAV,US
47,First Trust Energy Infrastructure Fund,FIF,US
48,First Trust Enhanced Equity Income Fund,FFA,US
49,First Trust High Income Long/Short Fund,FSD,US
50,First Trust Intermediate Duration Preferred & Income Fund,FPF,US
51,First Trust MLP and Energy Income Fund,FEI,US
52,First Trust Mortgage Income Fund,FMY,US
53,First Trust New Opportunities MLP & Energy Fund,FPL,US
54,First Trust Senior Floating Rate Income Fund II,FCT,US
55,First Trust Strategic High Income Fund II,FHY,US
56,First Trust/Aberdeen Emerging Opportunity Fund,FEO,US
57,First Trust/Aberdeen Global Opportunity Income Fund,FAM,US
58,First Trust/Gallatin Specialty Finance and Financial Opportunities Fund,FGB,US
59,FirstEnergy Corp,FE,US
60,FirstMerit Corporation,FMER.PRA,US
61,Five Oaks Investment Corp.,OAKS,US
62,Five Oaks Investment Corp.,OAKS.PRA,US
63,"Five Star Quality Care, Inc.",FVE,US
64,"Fixed Income Trust For Goldman Sachs Subordinated Notes, Series 2011-1",TFG,US
65,"Flagstar Bancorp, Inc.",FBC,US
66,Flaherty & Crumrine Dynamic Preferred and Income Fund Incorporated,DFP,US
67,Flaherty & Crumrine Preferred Income Fund Incorporated,PFD,US
68,Flaherty & Crumrine Preferred Income Opportunity Fund Incorporated,PFO,US
69,Flaherty & Crumrine Preferred Securities Income Fund Incorporated,FFC,US
70,Flaherty & Crumrine Total Return Fund Incorporated,FLC,US
71,"Fleetcor Technologies, Inc.",FLT,US
72,Fleetmatics Group PLC,FLTX,US
73,"Flotek Industries, Inc.",FTK,US
74,"Flowers Foods, Inc.",FLO,US
75,Flowserve Corporation,FLS,US
76,Fluor Corporation,FLR,US
77,Fly Leasing Limited,FLY,Ireland
78,FMC Corporation,FMC,US
79,"FMC Technologies, Inc.",FTI,US
80,F.N.B. Corporation,FNB,US
81,F.N.B. Corporation,FNB.PRE,US
82,"Fomento Economico Mexicano, S.A.B. De C.V.",FMX,Mexico
83,"Foot Locker, Inc.",FL,US
84,Ford Motor Company,F,US
85,Foresight Energy Partners LP,FELP,US
86,"Forest City Enterprises, Inc.",FCE.A,US
87,"Forest City Enterprises, Inc.",FCE.B,US
88,Forest Oil Corporation,FST,US
89,Forestar Group Inc.,FOR,US
90,"Fort Dearborn Income Securities, Inc.",FDI,US
91,Fortegra Financial Corporation,FRF,US
92,Fortress Investment Group LLC,FIG,US
93,Fortuna Silver Mines Inc.,FSM,US
94,"Fortune Brands Home & Security, Inc.",FBHS,US
95,"Forum Energy Technologies, Inc.",FET,US
96,Franco-Nevada Corporation,FNV,US
97,Franklin Covey Company,FC,US
98,Franklin Resources Inc.,BEN,US
99,Franklin Universal Trust,FT,US
100,Frank's International N.V.,FI,US
101,Freeport-McMoRan Inc.,FCX,US
102,"Freescale Semiconductor, Ltd.",FSL,US
103,Fresenius Medical Care AG & Co. KGAA,FMS,Germany
104,Fresh Del Monte Produce Inc.,FDP,Cayman Islands
105,Frontline Ltd.,FRO,Bermuda
106,FS KKR Capital Corp.,FSK,US
107,"FTI Consulting, Inc.",FCN,US
108,Furmanite Corporation,FRM,US
109,"Fusion-io, Inc.",FIO,US
110,FutureFuel Corp.,FF,US
111,FXCM Inc.,FXCM,US
0,"The Gabelli Convertible and Income Securities Fund, Inc.",GCV,US
1,"The Gabelli Convertible and Income Securities Fund, Inc.",GCV.PRB,US
2,The Gabelli Dividend & Income Trust,GDV,US
3,The Gabelli Dividend & Income Trust,GDV.PRA,US
4,The Gabelli Dividend & Income Trust,GDV.PRD,US
5,The Gabelli Equity Trust Inc.,GAB,US
6,The Gabelli Equity Trust Inc.,GAB.PRD,US
7,The Gabelli Equity Trust Inc.,GAB.PRG,US
8,The Gabelli Equity Trust Inc.,GAB.PRH,US
9,The Gabelli Global Small and Mid Cap Value Trust,GGZ,US
10,The Gabelli Healthcare & Wellness Rx Trust,GRX,US
11,The Gabelli Healthcare & Wellness Rx Trust,GRX.PRA,US
12,The Gabelli Multimedia Trust Inc.,GGT,US
13,The Gabelli Multimedia Trust Inc.,GGT.PRB,US
14,The Gabelli Utility Trust,GUT,US
15,The Gabelli Utility Trust,GUT.PRA,US
16,Gafisa S.A.,GFA,Brazil
17,"GAIN Capital Holdings, Inc.",GCAP,US
18,"Gamco Investors, Inc.",GBL,US
19,"GAMCO Natural Resources, Gold & Income Trust",GNT,US
20,GameStop Corp.,GME,US
21,"Gannett Co., Inc.",GCI,US
22,"The Gap, Inc.",GPS,US
23,Gartner Inc.,IT,US
24,GasLog Ltd.,GLOG,US
25,GasLog Partners LP,GLOP,Marshall Islands
26,Gatx Corporation,GMT,US
27,Gazit-Globe Ltd.,GZT,Israel
28,The GDL Fund,GDL,US
29,The GDL Fund,GDL.PRB,US
30,Gencorp Inc,GY,US
31,Generac Holdings Inc.,GNRC,US
32,"General American Investors Company, Inc.",GAM,US
33,"General American Investors Company, Inc.",GAM.PRB,US
34,General Cable Corporation,BGC,US
35,General Dynamics Corporation,GD,US
36,General Electric Company,GE,US
37,General Electric Capital Company,GEB,US
38,General Electric Capital Corporation,GEH,US
39,General Electric Capital Corporation,GEK,US
40,"General Mills, Inc.",GIS,US
41,General Motors Company,GM,US
42,General Motors Company,GM.WS.A,US
43,General Motors Company,GM.WS.B,US
44,General Motors Company,GM.WS.C,US
45,"General Steel Holdings, Inc.",GSI,China
46,Genesco Inc.,GCO,US
47,"Genesee & Wyoming, Inc.",GWR,US
48,"Genesee & Wyoming, Inc.",GWRU,US
49,"Genesis Energy, L.P.",GEL,US
50,Genie Energy Ltd.,GNE,US
51,Genie Energy Ltd.,GNE.PRA,US
52,Genpact Limited,G,India
53,Genuine Parts Company,GPC,US
54,"Genworth Financial, Inc.",GNW,US
55,"Geo Group, Inc.",GEO,US
56,GeoPark Limited,GPRK,US
57,Georgia Power Company,GPE.PRA,US
58,Gerdau S.A.,GGB,Brazil
59,Getty Realty Corp.,GTY,US
60,GFI Group Inc.,GFIG,US
61,Gigamon Inc.,GIMO,US
62,Gildan Activewear Inc.,GIL,Canada
63,Glatfelter,GLT,US
64,GlaxoSmithKline,GSK,United Kingdom
65,Glimcher Realty Trust,GRT,US
66,Glimcher Realty Trust,GRT.PRG,US
67,Glimcher Realty Trust,GRT.PRH,US
68,Glimcher Realty Trust,GRT.PRI,US
69,"Global Brass and Copper Holdings, Inc.",BRSS,US
70,Global Cash Access Holdings,GCA,US
71,"Global High Income Fund, Inc.",GHI,US
72,Global Partners LP,GLP,US
73,Global Payments Inc.,GPN,US
74,"Global Power Equipment Group, Inc.",GLPW,US
75,"Global Ship Lease, Inc",GSL,United Kingdom
76,"Globus Medical, Inc.",GMED,US
77,GMAC Capital Trust I,ALLY.PRA,US
78,"GNC Holdings, Inc.",GNC,US
79,GOL Linhas Aéreas Inteligentes S.A.,GOL,Brazil
80,Gold Fields Limited,GFI,South Africa
81,Goldcorp Inc.,GG,Canada
82,Goldman Sachs Group Inc.,GS,US
83,Goldman Sachs Group Inc.,GSF,US
84,Goldman Sachs Group Inc.,GSJ,US
85,Goldman Sachs Group Inc.,GS.PRA,US
86,Goldman Sachs Group Inc.,GS.PRB,US
87,Goldman Sachs Group Inc.,GS.PRC,US
88,Goldman Sachs Group Inc.,GS.PRD,US
